dsd_entry_id,headword,part_of_speech_expectation,dsd_priority,dsd_band,product_rationale,author_contributor_id,authored_date,inventory_evidence_id,declaration_id
10000000-0000-4000-8000-000000000020,find,verb,20,pilot-core,"Core daily action selected for the first DSD learning pilot.",DSD-O-001,2026-08-09,EV-INV-AI-PILOT-001,DSD-INVENTORY-DECL-20260809-001
10000000-0000-4000-8000-000000000021,finish,verb,21,pilot-core,"Core daily action selected for the first DSD learning pilot.",DSD-O-001,2026-08-09,EV-INV-AI-PILOT-001,DSD-INVENTORY-DECL-20260809-001
10000000-0000-4000-8000-000000000022,give,verb,22,pilot-core,"Core daily action selected for the first DSD learning pilot.",DSD-O-001,2026-08-09,EV-INV-AI-PILOT-001,DSD-INVENTORY-DECL-20260809-001
10000000-0000-4000-8000-000000000023,help,verb,23,pilot-core,"Core daily action selected for the first DSD learning pilot.",DSD-O-001,2026-08-09,EV-INV-AI-PILOT-001,DSD-INVENTORY-DECL-20260809-001
10000000-0000-4000-8000-000000000024,learn,verb,24,pilot-core,"Core daily action selected for the first DSD learning pilot.",DSD-O-001,2026-08-09,EV-INV-AI-PILOT-001,DSD-INVENTORY-DECL-20260809-001
10000000-0000-4000-8000-000000000025,listen,verb,25,pilot-core,"Core daily action selected for the first DSD learning pilot.",DSD-O-001,2026-08-09,EV-INV-AI-PILOT-001,DSD-INVENTORY-DECL-20260809-001
10000000-0000-4000-8000-000000000026,live,verb,26,pilot-core,"Core daily action selected for the first DSD learning pilot.",DSD-O-001,2026-08-09,EV-INV-AI-PILOT-001,DSD-INVENTORY-DECL-20260809-001
10000000-0000-4000-8000-000000000027,look,verb,27,pilot-core,"Core daily action selected for the first DSD learning pilot.",DSD-O-001,2026-08-09,EV-INV-AI-PILOT-001,DSD-INVENTORY-DECL-20260809-001
10000000-0000-4000-8000-000000000028,make,verb,28,pilot-core,"Core daily action selected for the first DSD learning pilot.",DSD-O-001,2026-08-09,EV-INV-AI-PILOT-001,DSD-INVENTORY-DECL-20260809-001
10000000-0000-4000-8000-000000000029,meet,verb,29,pilot-core,"Core daily action selected for the first DSD learning pilot.",DSD-O-001,2026-08-09,EV-INV-AI-PILOT-001,DSD-INVENTORY-DECL-20260809-001
10000000-0000-4000-8000-000000000030,need,verb,30,pilot-core,"Core daily action selected for the first DSD learning pilot.",DSD-O-001,2026-08-09,EV-INV-AI-PILOT-001,DSD-INVENTORY-DECL-20260809-001
10000000-0000-4000-8000-000000000031,open,verb,31,pilot-core,"Core daily action selected for the first DSD learning pilot.",DSD-O-001,2026-08-09,EV-INV-AI-PILOT-001,DSD-INVENTORY-DECL-20260809-001
10000000-0000-4000-8000-000000000032,pay,verb,32,pilot-core,"Core daily action selected for the first DSD learning pilot.",DSD-O-001,2026-08-09,EV-INV-AI-PILOT-001,DSD-INVENTORY-DECL-20260809-001
10000000-0000-4000-8000-000000000033,plan,verb,33,pilot-core,"Core daily action selected for the first DSD learning pilot.",DSD-O-001,2026-08-09,EV-INV-AI-PILOT-001,DSD-INVENTORY-DECL-20260809-001
10000000-0000-4000-8000-000000000034,read,verb,34,pilot-core,"Core daily action selected for the first DSD learning pilot.",DSD-O-001,2026-08-09,EV-INV-AI-PILOT-001,DSD-INVENTORY-DECL-20260809-001
10000000-0000-4000-8000-000000000035,remember,verb,35,pilot-core,"Core daily action selected for the first DSD learning pilot.",DSD-O-001,2026-08-09,EV-INV-AI-PILOT-001,DSD-INVENTORY-DECL-20260809-001
10000000-0000-4000-8000-000000000036,return,verb,36,pilot-core,"Core daily action selected for the first DSD learning pilot.",DSD-O-001,2026-08-09,EV-INV-AI-PILOT-001,DSD-INVENTORY-DECL-20260809-001
10000000-0000-4000-8000-000000000037,save,verb,37,pilot-core,"Core daily action selected for the first DSD learning pilot.",DSD-O-001,2026-08-09,EV-INV-AI-PILOT-001,DSD-INVENTORY-DECL-20260809-001
10000000-0000-4000-8000-000000000038,send,verb,38,pilot-core,"Core daily action selected for the first DSD learning pilot.",DSD-O-001,2026-08-09,EV-INV-AI-PILOT-001,DSD-INVENTORY-DECL-20260809-001
10000000-0000-4000-8000-000000000039,share,verb,39,pilot-core,"Core daily action selected for the first DSD learning pilot.",DSD-O-001,2026-08-09,EV-INV-AI-PILOT-001,DSD-INVENTORY-DECL-20260809-001
10000000-0000-4000-8000-000000000040,speak,verb,40,pilot-core,"Core daily action selected for the first DSD learning pilot.",DSD-O-001,2026-08-09,EV-INV-AI-PILOT-001,DSD-INVENTORY-DECL-20260809-001
10000000-0000-4000-8000-000000000041,start,verb,41,pilot-core,"Core daily action selected for the first DSD learning pilot.",DSD-O-001,2026-08-09,EV-INV-AI-PILOT-001,DSD-INVENTORY-DECL-20260809-001
10000000-0000-4000-8000-000000000042,study,verb,42,pilot-core,"Core daily action selected for the first DSD learning pilot.",DSD-O-001,2026-08-09,EV-INV-AI-PILOT-001,DSD-INVENTORY-DECL-20260809-001
10000000-0000-4000-8000-000000000043,take,verb,43,pilot-core,"Core daily action selected for the first DSD learning pilot.",DSD-O-001,2026-08-09,EV-INV-AI-PILOT-001,DSD-INVENTORY-DECL-20260809-001
10000000-0000-4000-8000-000000000044,teach,verb,44,pilot-core,"Core daily action selected for the first DSD learning pilot.",DSD-O-001,2026-08-09,EV-INV-AI-PILOT-001,DSD-INVENTORY-DECL-20260809-001
10000000-0000-4000-8000-000000000045,travel,verb,45,pilot-core,"Core daily action selected for the first DSD learning pilot.",DSD-O-001,2026-08-09,EV-INV-AI-PILOT-001,DSD-INVENTORY-DECL-20260809-001
10000000-0000-4000-8000-000000000046,try,verb,46,pilot-core,"Core daily action selected for the first DSD learning pilot.",DSD-O-001,2026-08-09,EV-INV-AI-PILOT-001,DSD-INVENTORY-DECL-20260809-001
10000000-0000-4000-8000-000000000047,use,verb,47,pilot-core,"Core daily action selected for the first DSD learning pilot.",DSD-O-001,2026-08-09,EV-INV-AI-PILOT-001,DSD-INVENTORY-DECL-20260809-001
10000000-0000-4000-8000-000000000048,wait,verb,48,pilot-core,"Core daily action selected for the first DSD learning pilot.",DSD-O-001,2026-08-09,EV-INV-AI-PILOT-001,DSD-INVENTORY-DECL-20260809-001
10000000-0000-4000-8000-000000000049,walk,verb,49,pilot-core,"Core daily action selected for the first DSD learning pilot.",DSD-O-001,2026-08-09,EV-INV-AI-PILOT-001,DSD-INVENTORY-DECL-20260809-001
10000000-0000-4000-8000-000000000050,work,verb,50,pilot-core,"Core daily action selected for the first DSD learning pilot.",DSD-O-001,2026-08-09,EV-INV-AI-PILOT-001,DSD-INVENTORY-DECL-20260809-001
