word,frequency_rank,definition_order,pos,level,definition_en,definition_vi,pronunciations,example_en,example_vi
be,,11,verb,beginner,(with To exist.,từc là,US:/biː/ | US:/bi/ | US:/bi/ | US:/beɪ/,There is just one woman in town who can help us.,Trong thị trấn này chỉ có một phụ nữ có thể giúp chúng tôi.
be,,12,verb,beginner,"(colloquial|humorous) To have (a condition, especially a mental or physical disability).",ở,US:/biː/ | US:/bi/ | US:/bi/ | US:/beɪ/,He’s a little autism.,Anh ấy có một chút tự kỷ.
be,,13,verb,beginner,"(colloquial|humorous) To have (a condition, especially a mental or physical disability).","(thông tục, hài hước) Có (một tình trạng, đặc biệt là một tình trạng khuyết tật tâm lý hoặc thể chất).",US:/biː/ | US:/bi/ | US:/bi/ | US:/beɪ/,He’s a little autism.,Anh ấy có một chút tự kỷ.
be,,14,verb,beginner,(with a cardinal numeral),(với một số lượng chỉ số),US:/biː/ | US:/bi/ | US:/bi/ | US:/beɪ/,I’m 20 (years old).,Đó là gần tám giờ (trước).
be,,15,verb,beginner,(with a,(với một),US:/biː/ | US:/bi/ | US:/bi/ | US:/beɪ/,It is almost eight (o’clock).,Đó là gần tám giờ (trước).
be,,16,verb,beginner,(with,(với),US:/biː/ | US:/bi/ | US:/bi/ | US:/beɪ/,"It has been three years since my grandmother died. (similar to ""My grandmother died three years ago"", but emphasizes the intervening period)","Đã qua ba năm kể từ khi bà ngoại tôi mất. (tương đương với 'Bà ngoại tôi mất ba năm trước', nhưng nhấn mạnh khoảng thời gian trôi qua)"
be,,17,verb,beginner,(rare|and|regional|chiefly|in the past tense),"(khan hiếm, và, địa phương, chủ yếu, trong quá khứ)",US:/biː/ | US:/bi/ | US:/bi/ | US:/beɪ/,I saw her Monday was a week: I saw her a week ago last Monday (a week before last Monday).,Tôi gặp cô ấy vào thứ Hai tuần trước: Tôi gặp cô ấy một tuần trước vào Chủ nhật vừa qua (một tuần trước Chủ nhật vừa qua).
be,,18,verb,beginner,To pass or spend (time).,Để dành thời gian.,US:/biː/ | US:/bi/ | US:/bi/ | US:/beɪ/,"and when he compares both sides, he will be some time at a loss to fix any determination.","Khi anh ta so sánh cả hai bên, anh ta sẽ mất một lúc để quyết định."
be,,19,verb,beginner,To take a period of time.,Để nghỉ ngơi trong một khoảng thời gian.,US:/biː/ | US:/bi/ | US:/bi/ | US:/beɪ/,,
be,,20,verb,beginner,(often|impersonal|with,"bị (thông thường, không cá nhân, với)",US:/biː/ | US:/bi/ | US:/bi/ | US:/beɪ/,"It is hot in Arizona, but it is not usually humid.","Arizona nóng, nhưng không thường xuyên ẩm thấp."
be,,21,verb,beginner,(dynamic / lexical be|especially in progressive tenses|conjugated non-suppletively in the present tense|see usage notes) To exist or behave in a certain way.,"trở thành (động từ / từ ngữ be, đặc biệt trong các hình thức tiến, được động từ hiện tại chia không thay đổi nghĩa, xem chú thích về cách sử dụng)",US:/biː/ | US:/bi/ | US:/bi/ | US:/beɪ/,"""What do we do?"" ""We be ourselves.""","""Chúng ta làm gì?"" ""Chúng ta chỉ cần là chính mình."""
be,,22,verb,beginner,(dynamic / lexical be|especially in progressive tenses|conjugated non-suppletively in the present tense|see usage notes) To exist or behave in a certain way.,"trở thành (động từ / từ ngữ be, đặc biệt trong các hình thức tiến, được động từ hiện tại chia không thay đổi nghĩa, xem chú thích về cách sử dụng)",US:/biː/ | US:/bi/ | US:/bi/ | US:/beɪ/,"""What do we do?"" ""We be ourselves.""","""Chúng ta nên làm gì?"" ""Chúng ta chỉ cần làm chính mình."""
be,,23,verb,beginner,"(now|usually|literary) To exist; to have real existence, to be alive.","trở thành (nay, thường, văn học) tồn tại; có thực sự tồn tại, sống",US:/biː/ | US:/bi/ | US:/bi/ | US:/beɪ/,The Universe has no explanation: it just is.,Thế giới không cần giải thích: nó chỉ tồn tại vậy.
be,,24,verb,beginner,To remain undisturbed in a certain state or situation.,"trở thành (nay, thường, văn học) tồn tại; có thực sự tồn tại, sống",US:/biː/ | US:/bi/ | US:/bi/ | US:/beɪ/,Let them be for a few hours.,Để họ yên cho vài giờ.
be,,25,verb,beginner,To occupy a place.,"trở thành (nay, thường, văn học) tồn tại; có thực sự tồn tại, sống",US:/biː/ | US:/bi/ | US:/bi/ | US:/beɪ/,The cup is on the table.,Cốc đang trên bàn.
be,,26,verb,beginner,"To occur, to take place.","trở thành (nay, thường, văn học) tồn tại; có thực sự tồn tại, sống",US:/biː/ | US:/bi/ | US:/bi/ | US:/beɪ/,When will the meeting be?,Họp sẽ vào lúc nào?
be,,27,verb,beginner,(in perfect tenses),trở thành (trong hoàn hảo),US:/biː/ | US:/bi/ | US:/bi/ | US:/beɪ/,"The postman has been today, but my tickets have still not yet come.","Bưu sĩ đã đến hôm nay, nhưng vé của tôi vẫn chưa đến."
be,,28,preposition,beginner,(dialectal|possibly|dated) .,"bị (địa phương, có thể, đã cũ) .",US:/biː/ | US:/bi/ | US:/bi/ | US:/beɪ/,O ful tru un pertikler akeawnt o... th' greyt Eggshibishun. Be o felley fro Rachde.,O ful tru một tài khoản nào... về Trứng Trắng. Hãy là một người từ Rachi.
be,,29,noun,beginner,The name of the Cyrillic script letter Б / б,bị (tiếng Cyrillic chữ cái) Б / б,US:/biː/ | US:/bi/ | US:/bi/ | US:/beɪ/,,
be,,30,noun,beginner,(paraphilia) .,bị (paraphilia) .,US:/biː/ | US:/bi/ | US:/bi/ | US:/beɪ/,,
be,,31,adjective,beginner,(medicine) .,bị (y tế) .,US:/biː/ | US:/bi/ | US:/bi/ | US:/beɪ/,,
have,,1,verb,beginner,"(transitive) To possess, own.",có,US:/həv/ | US:/hæv/ | US:/heɪv/,I have a house and a car.,我有一栋房子和一辆汽车。
have,,2,verb,beginner,"(transitive) To hold, as something at someone's disposal.","( + from) nhận được, biết được",US:/həv/ | US:/hæv/ | US:/heɪv/,Look what I have here—a frog I found on the street!,看我这里有什么——我在街上发现的一只青蛙！
have,,3,verb,beginner,"(transitive) To include as a part, ingredient, or feature.",ăn; uống; hút,US:/həv/ | US:/hæv/ | US:/heɪv/,The stove has a handle. The shirt has sleeves.,炉子有一个把手。衬衫有袖子。
have,,4,verb,beginner,(transitive) .,hưởng; bị,US:/həv/ | US:/hæv/ | US:/heɪv/,I have two sisters.,Tôi có hai chị gái.
have,,5,verb,beginner,"(transitive) To consume or use up (a particular substance or resource, especially food or drink).",cho phép; muốn (ai làm gì),US:/həv/ | US:/hæv/ | US:/heɪv/,I have breakfast at six o'clock.,Tôi ăn sáng lúc sáu giờ.
have,,6,verb,beginner,(transitive) To undertake or perform (an action or activity).,"biết, hiểu; nhớ",US:/həv/ | US:/hæv/ | US:/heɪv/,Can I have a look at that?,Tôi có thể xem qua đó được không?
have,,7,verb,beginner,"(transitive) To be scheduled to attend, undertake or participate in.","( + to) phải, có bổn phận phải, bắt buộc phải",US:/həv/ | US:/hæv/ | US:/heɪv/,What class do you have right now? I have English.,Lớp học của bạn bây giờ là gì? Tôi có môn Anh văn.
have,,8,verb,beginner,"(transitive) To experience, go through, undergo.","nói, cho là, chủ trương; tin chắc là",US:/həv/ | US:/hæv/ | US:/heɪv/,"We had a hard year last year, with the locust swarms and all that.","Năm ngoái chúng tôi có một năm khó khăn, với những đàn kiến và tất cả những điều khác."
have,,9,verb,beginner,"(transitive) To be afflicted with, suffer from.","thắng, thắng thế",US:/həv/ | US:/hæv/ | US:/heɪv/,He had a cold last week.,Anh ấy bị cảm vào tuần trước.
have,,10,verb,beginner,"(auxiliary verb, taking a past participle)","tóm, nắm, nắm chặt ((nghĩa đen) & (nghĩa bóng))",US:/həv/ | US:/hæv/ | US:/heɪv/,I have already eaten today.,Tôi đã ăn sáng hôm nay.
have,,11,verb,beginner,"(auxiliary verb, taking a past participle)","sai khiến, nhờ, bảo, bắt (ai làm gì...)",US:/həv/ | US:/hæv/ | US:/heɪv/,I have already eaten today.,Tôi đã ăn hôm nay rồi.
have,,12,verb,beginner,"(auxiliary verb, taking a to-infinitive) See have to.","(từ lóng) bịp, lừa bịp",US:/həv/ | US:/hæv/ | US:/heɪv/,I have to go.,Tôi phải đi.
have,,13,verb,beginner,(transitive) To give birth to.,có,US:/həv/ | US:/hæv/ | US:/heɪv/,The couple always wanted to have children.,Cặp đôi này luôn muốn có con.
have,,14,verb,beginner,(informal|usually passive) To obtain.,có,US:/həv/ | US:/hæv/ | US:/heɪv/,The substance you describe can't be had at any price.,Chất liệu bạn mô tả không thể mua được bằng bất kỳ giá nào.
have,,15,verb,beginner,(transitive) To engage in sexual intercourse with.,có,US:/həv/ | US:/hæv/ | US:/heɪv/,He’s always bragging about how many women he’s had.,Anh ta luôn khoe khoang về số lượng phụ nữ anh ta đã có.
have,,16,verb,beginner,(transitive) To accept as a romantic partner.,có,US:/həv/ | US:/hæv/ | US:/heɪv/,"Despite my protestations of love, she would not have me.","Dù tôi đã tuyên bố yêu cô ấy, cô ấy vẫn không chấp nhận tôi."
have,,17,verb,beginner,"To cause to, by a command, request or invitation.",có,US:/həv/ | US:/hæv/ | US:/heɪv/,They had me feed their dog while they were out of town.,Họ nhờ tôi chăm sóc chó của họ khi họ đi công tác.
have,,18,verb,beginner,To cause to be.,có,US:/həv/ | US:/hæv/ | US:/heɪv/,He had him arrested for trespassing.,Anh ta đã bắt người đó vi phạm quy định.
have,,19,verb,beginner,To be affected by an occurrence. (Used in supplying a topic that is a small clause.),có,US:/həv/ | US:/hæv/ | US:/heɪv/,The hospital had several patients contract pneumonia last week.,Bệnh viện đã có nhiều bệnh nhân mắc viêm phổi trong tuần vừa qua.
have,,20,verb,beginner,To depict as being.,có,US:/həv/ | US:/hæv/ | US:/heɪv/,"Their stories differed; he said he’d been at work when the incident occurred, but her statement had him at home that entire evening.","Các câu chuyện của họ khác nhau; anh ấy nói rằng anh ấy đang làm việc khi sự kiện xảy ra, nhưng lời khai của cô ấy cho thấy anh ấy ở nhà cả buổi tối đó."
have,,21,verb,beginner,(Britain|slang|transitive) To defeat in a fight; take.,có,US:/həv/ | US:/hæv/ | US:/heɪv/,I could have him!,Tôi có thể khiến anh ấy!
have,,22,verb,beginner,(Britain|slang|transitive) To inflict punishment or retribution on.,có,US:/həv/ | US:/hæv/ | US:/heɪv/,"When we did a rerecorded version for Top of the Pops, the Musicians' Union bloke said, ""If I think you're making strings sounds out of a synthesiser, I'm going to have you. Video Killed the Radio Star is putting musicians out of business.""","Khi chúng tôi thực hiện bản thu lại cho Top of the Pops, người đại diện công đoàn nhạc sĩ nói: ""Nếu tôi nghĩ rằng các bạn đang tạo ra âm thanh dây bằng synthesizer, tôi sẽ bắt các bạn. Video đã giết đi sự nghiệp của các nhạc sĩ."""
have,,23,verb,beginner,(dated|outside|Ireland|transitive) To be able to speak (a language).,có,US:/həv/ | US:/hæv/ | US:/heɪv/,I have no German.,Tôi không biết tiếng Đức.
have,,24,verb,beginner,(transitive) To feel or be (especially painfully) aware of.,có,US:/həv/ | US:/hæv/ | US:/heɪv/,"Dan certainly has arms today, probably from scraping paint off four columns the day before.","Dan chắc chắn có cánh tay hôm nay, có lẽ là do ông ta đã gỡ sơn từ bốn cột trước một ngày."
have,,25,verb,beginner,"(informal|often passive|transitive) To trick, to deceive.",có,US:/həv/ | US:/hæv/ | US:/heɪv/,I bought a laptop online but it never arrived. I think I've been had!,Tôi mua một máy tính bảng trực tuyến nhưng nó chưa bao giờ đến. Tôi nghĩ mình bị lừa!
have,,26,verb,beginner,(transitive|in the negative|often in continuous tenses) To allow; to tolerate.,có,US:/həv/ | US:/hæv/ | US:/heɪv/,"The child screamed incessantly for his mother to buy him a toy, but she wasn't having any of it.","Con bé kêu incessantly cho mẹ mua đồ chơi, nhưng mẹ không đồng ý."
have,,27,verb,beginner,"(transitive|often used in the negative) To believe, buy, be taken in by.",có,US:/həv/ | US:/hæv/ | US:/heɪv/,"I made up an excuse as to why I was out so late, but my wife wasn't having any of it.","Tôi đã tạo ra một lý do để giải thích tại sao tôi ra ngoài muộn như vậy, nhưng vợ tôi không đồng ý."
have,,28,verb,beginner,(transitive) To host someone; to take in as a guest.,có,US:/həv/ | US:/hæv/ | US:/heɪv/,Thank you for having me!,Cảm ơn vì đã mời tôi!
have,,29,verb,beginner,"(transitive) To get a reading, measurement, or result from an instrument or calculation.",có,US:/həv/ | US:/hæv/ | US:/heɪv/,What do you have for problem two?,Bạn có gì cho bài toán hai?
have,,30,verb,beginner,(transitive|of a jury) To consider a court proceeding that has been completed; to begin deliberations on a case.,có,US:/həv/ | US:/hæv/ | US:/heɪv/,"We’ll schedule closing arguments for Thursday, and the jury will have the case by that afternoon.","Chúng tôi sẽ lên lịch trình bày kết luận vào thứ Năm, và hội đồng sẽ có vụ án vào chiều đó."
have,,31,verb,beginner,(transitive|birdwatching) To make an observation of (a bird species).,có,US:/həv/ | US:/hæv/ | US:/heɪv/,"For some reason, ""I had a Freckled Duck today"" never seems to work as a pick-up line.","Đối với một lý do nào đó, ""Tôi đã ăn một Freckled Duck hôm nay"" không bao giờ hoạt động như một câu nói tán tỉnh."
have,,32,verb,beginner,(transitive) To capture or actively hold someone's attention or interest.,có,US:/həv/ | US:/hæv/ | US:/heɪv/,,
have,,33,verb,beginner,(transitive) To grasp the meaning of; comprehend.,có,US:/həv/ | US:/hæv/ | US:/heɪv/,Ah! Now I have it!,Ah! Bây giờ tôi hiểu!
have,,34,noun,beginner,(idiomatic|usually|contrastive) A wealthy or privileged person.,(từ lóng) sự lừa bịp; hành động lừa bịp,US:/həv/ | US:/hæv/ | US:/heɪv/,A good credit rating can mean the difference between being a have or a have not.,Một tín dụng tốt có thể tạo ra sự khác biệt giữa một người có và một người không có.
have,,35,noun,beginner,(idiomatic|uncommon) One who has some (contextually specified) thing.,(từ lóng) sự lừa bịp; hành động lừa bịp,US:/həv/ | US:/hæv/ | US:/heɪv/,"To find out whether you are a have or a have not, did you understand the malo and Brett sentence a few lines back? If no, this doesn't make any difference to me, as you are the proud possessor of something the 'haves' haven't got. You know exactly what you like and why you like it. The 'haves' pretend to like and understand everything, which by the way is impossible. They deliberate over choosing a bottle in the shop for hours,&nbsp;...","Để xác định xem bạn là một người có hay không có, liệu bạn có hiểu câu văn của Malo và Brett vài dòng trước không? Nếu không, điều này không quan trọng đối với tôi, vì bạn là người tự hào sở hữu điều gì mà những người có không có. Bạn biết rõ những gì bạn thích và tại sao bạn thích nó. Những người có thường giả vờ thích và hiểu mọi thứ, điều này thực tế là không thể. Họ cân nhắc chọn một chai trong cửa hàng trong nhiều giờ,..."
have,,36,noun,beginner,(AU|NZ|informal) A fraud or deception; something misleading.,(từ lóng) sự lừa bịp; hành động lừa bịp,US:/həv/ | US:/hæv/ | US:/heɪv/,"They advertise it as a great deal, but I think it's a bit of a have.","Họ quảng cáo rằng đây là một giao dịch tuyệt vời, nhưng tôi nghĩ rằng đây là một chút của một người có."
do,,1,verb,beginner,(auxiliary),"như trên; cùng một thứ, cùng một loại",US:/də/ | US:/dʊ/ | US:/duː/ | US:/d͡ʒ/ | US:/dy/ | US:/diː/ | US:/dɪ/ | US:/dɪv/ | US:/dəʊ/ | US:/doʊ/ | US:/dəʊ/ | US:/doʊ/,Do you go there often?,Bạn thường xuyên đến đó không?
do,,2,verb,beginner,(auxiliary),"(được dùng nhất là với what , anything , nothing và something , để nói đến các hành động không xác định rõ hay chưa biết) làm",US:/də/ | US:/dʊ/ | US:/duː/ | US:/d͡ʒ/ | US:/dy/ | US:/diː/ | US:/dɪ/ | US:/dɪv/ | US:/dəʊ/ | US:/doʊ/ | US:/dəʊ/ | US:/doʊ/,Do you go there often?,Bạn có đi nơi đó thường xuyên không?
do,,3,verb,beginner,(auxiliary),"(được dùng nhất là với what , anything , nothing và something , để nói đến các hành động không xác định rõ hay chưa biết) làm",US:/də/ | US:/dʊ/ | US:/duː/ | US:/d͡ʒ/ | US:/dy/ | US:/diː/ | US:/dɪ/ | US:/dɪv/ | US:/dəʊ/ | US:/doʊ/ | US:/dəʊ/ | US:/doʊ/,Do you go there often?,Bạn có đi nơi đó thường xuyên không?
do,,4,verb,beginner,(auxiliary),"(được dùng nhất là với what , anything , nothing và something , để nói đến các hành động không xác định rõ hay chưa biết) làm",US:/də/ | US:/dʊ/ | US:/duː/ | US:/d͡ʒ/ | US:/dy/ | US:/diː/ | US:/dɪ/ | US:/dɪv/ | US:/dəʊ/ | US:/doʊ/ | US:/dəʊ/ | US:/doʊ/,Do you go there often?,Bạn có đi nơi đó thường xuyên không?
do,,5,verb,beginner,(pro-verb),"(được dùng nhất là với what , anything , nothing và something , để nói đến các hành động không xác định rõ hay chưa biết) làm",US:/də/ | US:/dʊ/ | US:/duː/ | US:/d͡ʒ/ | US:/dy/ | US:/diː/ | US:/dɪ/ | US:/dɪv/ | US:/dəʊ/ | US:/doʊ/ | US:/dəʊ/ | US:/doʊ/,I play tennis; she does too.,Tôi chơi tennis; cô ấy cũng vậy.
do,,6,verb,beginner,(modal verb|interrogative|informal) to ().,"(được dùng nhất là với what , anything , nothing và something , để nói đến các hành động không xác định rõ hay chưa biết) làm",US:/də/ | US:/dʊ/ | US:/duː/ | US:/d͡ʒ/ | US:/dy/ | US:/diː/ | US:/dɪ/ | US:/dɪv/ | US:/dəʊ/ | US:/doʊ/ | US:/dəʊ/ | US:/doʊ/,Do I just call every number on the list each time?,Bạn chỉ cần gọi mỗi số trong danh sách mỗi lần đúng không?
do,,7,verb,beginner,(dialectal),"(được dùng nhất là với what , anything , nothing và something , để nói đến các hành động không xác định rõ hay chưa biết) làm",US:/də/ | US:/dʊ/ | US:/duː/ | US:/d͡ʒ/ | US:/dy/ | US:/diː/ | US:/dɪ/ | US:/dɪv/ | US:/dəʊ/ | US:/doʊ/ | US:/dəʊ/ | US:/doʊ/,"...An' the dogs do bark, an' the rooks be a-vled to the elems high and dark, an' the water do roar at mill.","…Còn chó thì sủa, chim corvus bay lên cây cao và tối, nước sông thì rì rào ở nhà máy.&nbsp;"
do,,8,verb,beginner,(transitive) To perform; to execute.,"(được dùng nhất là với what , anything , nothing và something , để nói đến các hành động không xác định rõ hay chưa biết) làm",US:/də/ | US:/dʊ/ | US:/duː/ | US:/d͡ʒ/ | US:/dy/ | US:/diː/ | US:/dɪ/ | US:/dɪv/ | US:/dəʊ/ | US:/doʊ/ | US:/dəʊ/ | US:/doʊ/,"If you want something done, do it yourself.","Nếu bạn muốn điều gì đó được làm, hãy làm nó tự mình."
do,,9,verb,beginner,(transitive|obsolete) To cause or make (someone) (do something).,"(được dùng nhất là với what , anything , nothing và something , để nói đến các hành động không xác định rõ hay chưa biết) làm",US:/də/ | US:/dʊ/ | US:/duː/ | US:/d͡ʒ/ | US:/dy/ | US:/diː/ | US:/dɪ/ | US:/dɪv/ | US:/dəʊ/ | US:/doʊ/ | US:/dəʊ/ | US:/doʊ/,"And also my lorde abbot of westmynster ded do shewe to me late, certayn euydences wryton in olde englysshe ;",Và cũng lord abbot của Westminster đã cho tôi xem những bằng chứng viết bằng tiếng Anh cổ; 
do,,10,verb,beginner,(ambitransitive) To suffice.,"(được dùng nhất là với what , anything , nothing và something , để nói đến các hành động không xác định rõ hay chưa biết) làm",US:/də/ | US:/dʊ/ | US:/duː/ | US:/d͡ʒ/ | US:/dy/ | US:/diː/ | US:/dɪ/ | US:/dɪv/ | US:/dəʊ/ | US:/doʊ/ | US:/dəʊ/ | US:/doʊ/,make it do or do without,tự làm hoặc tự bỏ
do,,11,verb,beginner,(intransitive) To be reasonable or acceptable.,"(được dùng nhất là với what , anything , nothing và something , để nói đến các hành động không xác định rõ hay chưa biết) làm",US:/də/ | US:/dʊ/ | US:/duː/ | US:/d͡ʒ/ | US:/dy/ | US:/diː/ | US:/dɪ/ | US:/dɪv/ | US:/dəʊ/ | US:/doʊ/ | US:/dəʊ/ | US:/doʊ/,It simply will not do to have dozens of children running around such a quiet event.,Chỉ đơn giản là không thể có hàng tá trẻ em chạy xung quanh sự kiện yên tĩnh như vậy.
do,,12,verb,beginner,(ditransitive) To have (as an effect).,"(được dùng nhất là với what , anything , nothing và something , để nói đến các hành động không xác định rõ hay chưa biết) làm",US:/də/ | US:/dʊ/ | US:/duː/ | US:/d͡ʒ/ | US:/dy/ | US:/diː/ | US:/dɪ/ | US:/dɪv/ | US:/dəʊ/ | US:/doʊ/ | US:/dəʊ/ | US:/doʊ/,The fresh air did him some good.,Quan hệ của chúng tôi không đang hoạt động tốt;&nbsp; bạn đang làm gì?
do,,13,verb,beginner,"(intransitive) To fare, perform (well or poorly).","(được dùng nhất là với what , anything , nothing và something , để nói đến các hành động không xác định rõ hay chưa biết) làm",US:/də/ | US:/dʊ/ | US:/duː/ | US:/d͡ʒ/ | US:/dy/ | US:/diː/ | US:/dɪ/ | US:/dɪv/ | US:/dəʊ/ | US:/doʊ/ | US:/dəʊ/ | US:/doʊ/,Our relationship isn't doing very well;&nbsp; how do you do?,"Nhựa là các chất giàu năng lượng, đó là lý do tại sao nhiều trong số chúng cháy rất dễ dàng. Loài nào có thể giải phóng và sử dụng năng lượng đó sẽ làm tốt trong Thời đại Người. Vi khuẩn và nấm đất đất có thể thực hiện trò chơi này đã quen thuộc với các chuyên gia trong lĩnh vực này."
do,,14,verb,beginner,(especially|England|intransitive) To well; to ; to ; (of livestock) to .,"(được dùng nhất là với what , anything , nothing và something , để nói đến các hành động không xác định rõ hay chưa biết) làm",US:/də/ | US:/dʊ/ | US:/duː/ | US:/d͡ʒ/ | US:/dy/ | US:/diː/ | US:/dɪ/ | US:/dɪv/ | US:/dəʊ/ | US:/doʊ/ | US:/dəʊ/ | US:/doʊ/,A big framed beast takes a lot of food — expensive food at that [—] to keep it doing,Một con vật lớn khung lớn đòi hỏi một lượng thức ăn lớn — thức ăn đắt đỏ — để duy trì hoạt động.
do,,15,verb,beginner,(transitive|chiefly|in questions) To have as one's job.,"(được dùng nhất là với what , anything , nothing và something , để nói đến các hành động không xác định rõ hay chưa biết) làm",US:/də/ | US:/dʊ/ | US:/duː/ | US:/d͡ʒ/ | US:/dy/ | US:/diː/ | US:/dɪ/ | US:/dɪv/ | US:/dəʊ/ | US:/doʊ/ | US:/dəʊ/ | US:/doʊ/,What does Bob do? — He's a plumber.,Bob làm gì? — Anh ấy là thợ nước.
do,,16,verb,beginner,(transitive) To perform the tasks or actions associated with (something).,"(được dùng nhất là với what , anything , nothing và something , để nói đến các hành động không xác định rõ hay chưa biết) làm",US:/də/ | US:/dʊ/ | US:/duː/ | US:/d͡ʒ/ | US:/dy/ | US:/diː/ | US:/dɪ/ | US:/dɪv/ | US:/dəʊ/ | US:/doʊ/ | US:/dəʊ/ | US:/doʊ/,Don't forget to do your report!,Đừng quên làm báo cáo!
do,,17,verb,beginner,(transitive) To cook.,"(được dùng nhất là với what , anything , nothing và something , để nói đến các hành động không xác định rõ hay chưa biết) làm",US:/də/ | US:/dʊ/ | US:/duː/ | US:/d͡ʒ/ | US:/dy/ | US:/diː/ | US:/dɪ/ | US:/dɪv/ | US:/dəʊ/ | US:/doʊ/ | US:/dəʊ/ | US:/doʊ/,I'll just do some eggs.,Tôi chỉ muốn làm vài quả trứng.
do,,18,verb,beginner,"(transitive) To travel in or through, to tour, to make a circuit of.","(được dùng nhất là với what , anything , nothing và something , để nói đến các hành động không xác định rõ hay chưa biết) làm",US:/də/ | US:/dʊ/ | US:/duː/ | US:/d͡ʒ/ | US:/dy/ | US:/diː/ | US:/dɪ/ | US:/dɪv/ | US:/dəʊ/ | US:/doʊ/ | US:/dəʊ/ | US:/doʊ/,Let’s do New York also.,Hãy làm New York cũng vậy.
do,,19,verb,beginner,(transitive) To treat in a certain way.,"(được dùng nhất là với what , anything , nothing và something , để nói đến các hành động không xác định rõ hay chưa biết) làm",US:/də/ | US:/dʊ/ | US:/duː/ | US:/d͡ʒ/ | US:/dy/ | US:/diː/ | US:/dɪ/ | US:/dɪv/ | US:/dəʊ/ | US:/doʊ/ | US:/dəʊ/ | US:/doʊ/,"They did me well, I assure you—uncommon well: Bollinger of '84; green chartreuse fit for a prince;","Họ đã làm cho tôi rất tốt, tôi đảm bảo với bạn—khác thường tốt: Bollinger của '84; xanh chartreuse phù hợp cho hoàng tử;"
do,,20,verb,beginner,"(transitive) To work for or on, by way of caring for, looking after, preparing, cleaning, keeping in order, etc.","(được dùng nhất là với what , anything , nothing và something , để nói đến các hành động không xác định rõ hay chưa biết) làm",US:/də/ | US:/dʊ/ | US:/duː/ | US:/d͡ʒ/ | US:/dy/ | US:/diː/ | US:/dɪ/ | US:/dɪv/ | US:/dəʊ/ | US:/doʊ/ | US:/dəʊ/ | US:/doʊ/,"The woman-who-did did not do very well, Juliet thought.","Người phụ nữ-đã làm không làm tốt lắm, Juliet nghĩ."
do,,21,verb,beginner,(intransitive|obsolete) To act or behave in a certain manner; to conduct oneself.,"(được dùng nhất là với what , anything , nothing và something , để nói đến các hành động không xác định rõ hay chưa biết) làm",US:/də/ | US:/dʊ/ | US:/duː/ | US:/d͡ʒ/ | US:/dy/ | US:/diː/ | US:/dɪ/ | US:/dɪv/ | US:/dəʊ/ | US:/doʊ/ | US:/dəʊ/ | US:/doʊ/,,
do,,22,verb,beginner,(transitive) To spend (time) in jail. (See also do time),"(được dùng nhất là với what , anything , nothing và something , để nói đến các hành động không xác định rõ hay chưa biết) làm",US:/də/ | US:/dʊ/ | US:/duː/ | US:/d͡ʒ/ | US:/dy/ | US:/diː/ | US:/dɪ/ | US:/dɪv/ | US:/dəʊ/ | US:/doʊ/ | US:/dəʊ/ | US:/doʊ/,I did five years for armed robbery.,Tôi đã bị án năm năm vì tội trộm cướp vũ khí.
