issue,word,pos,english,vietnamese,row_id
definition_vi_cjk,thaumaturgically,adverb,"By means of, or in terms of, magic.",Thaumaturgically: 通过魔术手段或方式。,3176856
definition_vi_cjk,thaumaturgism,noun,thaumaturgy; miracle-working,Thaumaturgism: 奇迹术；奇迹工作。,3176858
definition_vi_cjk,dolo,adverb,"(AAVE|New York|hip-hop|_|slang) alone, by oneself, without a companion","(AAVE, New York, hip-hop, _, 拉丁语) 单独，独自一人，没有同伴",2733764
definition_vi_cjk,dolomicrite,noun,(geology) A dolomite mudstone.,(地质学) 一种白云石泥岩。,2733767
definition_vi_cjk,dolomitization,noun,(geology) The conversion of a limestone rock into dolomite by replacement of calcium by magnesium.,(地质学) 石灰岩岩石通过钙被镁替代而转化为白云石的过程。,2733771
definition_vi_cjk,holubky,noun,Czech or Slovak cabbage rolls.,Cabbage rolls của捷克语或斯洛伐克语。,2832831
definition_vi_cjk,double-suicide,noun,Suicide committed by two people together.,điều chỉnh tự殺由两个人一起进行的自杀,2735612
definition_vi_cjk,dumbassery,noun,"(slang|vulgar|North America) Immature, foolish behavior; behavior typical of a dumbass.","Dụmbăsserry: (một loại từ vựng俚语, 北美) 行为幼稚、愚蠢；行为典型的傻瓜。",2740676
definition_vi_cjk,hooky-playing,adjective,That plays hooky.,(俚语) 逃学的,2834800
definition_vi_cjk,hool,noun,(slang) .,(俚语) .,2834801
definition_vi_cjk,hoopstick,noun,A light framing member for a carriage or wagon hood or roof.,(历史) 车辆罩子或屋顶的轻型框架构件。,2834888
definition_vi_cjk,hoopstick,noun,A stick used for rolling a child's play hoop.,(历史) 用于滚动孩子的玩圈的棍子。,2834889
definition_vi_cjk,hoplomachy,noun,(historical) The skill of fighting as a hoplomachus.,(历史) 作为角斗士的技能。,2835103
definition_vi_cjk,dyspancreatism,noun,of the pancreas.,Có liên quan đến tụ胰腺。,2742578
definition_vi_cjk,undirectly,adverb,Indirectly.,间接地。,3212580
definition_vi_cjk,hotsonite,noun,"(mineral) A mineral containing aluminum, sulfur, oxygen, phosphorus and hydrogen originally found in South Africa.",(矿物)一种含铝、硫、氧、磷和氢的矿物，最初在南非发现。,2836375
definition_vi_cjk,hotspurred,adjective,(archaic) ; impetuous; impulsive.,(古语)冲动的；冲动的,2836377
definition_vi_cjk,hotstep,verb,"(slang|idiomatic|intransitive|uncommon) Of a person, to dance with energy, style, and enthusiasm.",(俚语，惯用语，不常见，非传递式)充满活力、风格和热情地跳舞,2836378
definition_vi_cjk,hotstepper,noun,"(slang|idiomatic) Someone who walks with confidence and style, often exuding charisma and a strong presence.",(俚语，惯用语)充满自信和风格的人，通常散发着魅力和强大的存在感。,2836380
definition_vi_cjk,riding-rod,noun,A light cane for equestrians.,Một cây gậy nhẹ dành cho người骑马者,3083291
definition_vi_cjk,hover-fly,noun,"(dated) ; any insect, of the family, having wasp-like markings",Hover-fly: (cũ) bất kỳ con昆虫，具有黄蜂般的条纹的昆虫。,2836841
definition_vi_cjk,hrabalian,adjective,"Of or relating to Bohumil Hrabal (1914–1997), Czech writer.","Of or relating to Bohumil Hrabal (1914–1997), Czech writer. (Hrabalian) (từ形容词): (与捷克作家博胡米尔·赫拉巴尔相关的)",2837081
definition_vi_cjk,hst,noun,"(Canada) , a combined federal and provincial sales tax collected in some provinces.",(加拿大) ，一些省份中联邦和省级销售税的合并征收.,2837169
definition_vi_cjk,hst,noun,(quilting) .,(缝纫) .,2837170
definition_vi_cjk,hst,noun,(nautical) .,(航海) .,2837171
definition_vi_cjk,hsts,noun,"(tttt) , a reinterpretation of HSTS.",(tttt) ，HSTS的重新解释.,2837173
definition_vi_cjk,hsv,noun,(virology) .,(病毒学) .,2837174
definition_vi_cjk,htfu,phrase,(slang) .,(俚语) .,2837189
definition_vi_cjk,hudna,noun,"truce, armistice, cease-fire",休战，停火，停火.,2837392
definition_vi_cjk,hudna,noun,"a pause to regroup, rearm, and prepare for the next fight",暂停以重新集结，重新武装并准备下一次战斗.,2837393
definition_vi_cjk,huerta,noun,The area of Murcia and Valencia with fertile ground.,马略卡和瓦伦西亚肥沃土地的区域.,2837421
definition_vi_cjk,humberstonite,noun,"(mineral) A trigonal-rhombohedral colorless mineral containing hydrogen, magnesium, nitrogen, oxygen, potassium, sodium, and sulfur.",(mỏ) Một khoáng chất hình tam giác-rhombohedron màu无色，含有氢、镁、氮、氧、钾、钠和硫的矿物。,2837787
definition_vi_cjk,riichi,noun,"(pachinko|often spelled ""reach"") Being one symbol away from getting a jackpot, usually triggering an animation before the final symbol is revealed.","(pachinko, thường được拼写为""reach"") Cách xa một ký hiệu để đạt được jackpot, thường gây ra một cảnh trước khi ký hiệu cuối cùng được tiết lộ.",3083750
definition_vi_cjk,rilek,verb,"(Singapore|intransitive) To relax; to chill out or loiter, doing nothing in particular.",(新加坡，不转换动词) 放松；放松或闲逛，做些无关紧要的事情。,3083764
definition_vi_cjk,rilesome,adjective,Easily aggravated; tending to get riled up.,容易被激怒的；倾向于变得生气。,3083765
definition_vi_cjk,rilesome,adjective,Tending to stir or move from a state of order; roilsome.,容易被激怒的；倾向于搅动或从有序状态中移动出来。,3083766
definition_vi_cjk,riley-day syndrome,noun,A rare genetic disorder of the autonomic nervous system.,里尔德综合征：一种罕见的遗传性疾病，影响自主神经系统。,3083767
definition_vi_cjk,rilkean,adjective,"Of or pertaining to Rainer Maria Rilke (1875–1926), Austrian poet regarded as a transitional figure between the traditional and modernist poets.",里尔克式的：与里尔·马里亚·里尔克（1875-1926）有关，他是奥地利诗人，被认为是传统诗人和现代主义诗人之间的过渡人物。,3083769
definition_vi_cjk,rimfire,noun,"A type of firearm cartridge where the primer is in the back rim, rather than a central primer cap. They are cheap to produce but cannot be reloaded with powder.","Một loại đạn súng火药_, nơi nút điểm nổ nằm ở mép sau, thay vì một nắp điểm nổ trung tâm. Chúng rẻ tiền để sản xuất nhưng không thể tái sử dụng với thuốc súng.",3083833
definition_vi_cjk,ring-cake,noun,"(USA) A cake having a ring baked inside it, with slices sold as a form of lottery. Once a common feature of church fairs.",ring-cake (名词): (美国) 一种内部含有环状物的蛋糕，切片作为抽奖形式出售。曾经是教堂集会上的一个常见特征。,3083964
definition_vi_cjk,ring-dropping,noun,"(historical) A form of fraud in which a ring or other spurious article is supposed to be found just in front of the mark, who is tempted to buy it at a fraction of its claimed value.",ring-dropping (名词): (历史上的) 一种欺诈形式，在这种形式中，一个戒指或其他伪造品被认为是在骗子面前找到的，骗子被引诱以其声称的价值的一小部分购买它。,3083965
definition_vi_cjk,ring-giver,noun,"(historical|Old English literature) A ruler or chieftain who distributed rings or other valuable gifts to loyal warriors, thanes, or retainers as a means of rewarding service and reinforcing bonds of allegiance and mutual obligation.",ring-giver (名词): (历史上的，盎格鲁-撒克逊文学) 一位统治者或酋长，他分发戒指或其他有价值的礼物给忠诚的战士、男爵或仆人，作为一种奖励服务和加强忠诚和相互义务的方式。,3083966
definition_vi_cjk,ring-giving,noun,"(historical|Old English literature) The practice by which a ruler or chieftain distributes rings or other valuable gifts to loyal warriors, thanes, or retainers as a means of rewarding service and reinforcing bonds of allegiance and mutual obligation.",ring-giving (名词): (历史上的，盎格鲁-撒克逊文学) 一种统治者或酋长分发戒指或其他有价值的礼物给忠诚的战士、男爵或仆人，作为一种奖励服务和加强忠诚和相互义务的方式的做法。,3083967
definition_vi_cjk,ring-hoard,noun,A large hoard of treasure.,ring-hoard (名词): 一大笔财宝。,3083969
definition_vi_cjk,ring-in,noun,"A replacement made at the last minute, often in a sporting context.",ring-in (名词): 最后时刻的替换，通常在体育赛事中。,3083970
definition_vi_cjk,ring-in,noun,A racehorse or greyhound fraudulently substituted for another in a race.,ring-in (名词): 在比赛中被欺诈性地替换为另一匹赛马或灰狗。,3083971
definition_vi_cjk,ringboard,noun,"A board with hooks attached, used in the Irish game of rings.",(irish)一块带有挂钩的木板，用于爱尔兰游戏中的环形。,3084001
definition_vi_cjk,ringbolt,noun,an eyebolt with a captive ring passing through it,一个带有固定环的眼螺栓。,3084002
definition_vi_cjk,ringbond,noun,(organic chemistry) A bond between atoms of neighbouring rings,(有机化学) 环状化合物之间的原子之间的键。,3084003
definition_vi_cjk,ringbone,noun,"A type of osteoarthritis affecting any of several bones (particularly the coffin joint or pastern) of a horse's leg or foot, marked by bone growth.",一种影响马蹄或脚部（特别是蹄关节）的马骨关节炎类型，表现为骨生长。,3084004
definition_vi_cjk,ringboned,adjective,"Having ringbone, a form of osteoarthritis in horse's feet.",有环状骨关节炎的，一种影响马蹄或脚部的马骨关节炎。,3084005
definition_vi_cjk,ringcraft,noun,(boxing) Tactical skill and positioning in the boxing ring.,(拳击) 拳击台上的战术技巧和定位。,3084006
definition_vi_cjk,ringcraft,noun,(dog training) The skills necessary to compete in a dog show.,(狗训练) 在狗展中所需的技能。,3084007
definition_vi_cjk,ringdent,noun,A piece of jewelry that can be worn as either a ring or a pendant.,一种珠宝，可以作为戒指或吊坠佩戴。,3084008
definition_vi_cjk,ringdove,noun,the wood pigeon,北美的山斑鸠。,3084009
definition_vi_cjk,ringdown,noun,(astronomy) The stage in a merging event where the amplitude reaches its peak.,(天文学) 合并事件中的振幅达到峰值的阶段。,3084010
definition_vi_cjk,rinpoche,noun,(Tibetan Buddhism),(Phật giáo Tây Tạng) Lạtma喇嘛,3084190
definition_vi_cjk,ringdown,noun,(telecommunications) A signal to a telephone operator that both rings a bell and allows a relay to drop.,(电信) 一个信号给电话操作员，既敲铃又允许继电器落下。,3084011
definition_vi_cjk,ringe,noun,A whisk made of heather.,一种用羊茅制成的搅拌棒。,3084012
definition_vi_cjk,ringlight,noun,(photography),(摄影学),3084083
definition_vi_cjk,ringlight,noun,(photography),(摄影学),3084084
definition_vi_cjk,ringnut,noun,(slang|humorous|or|_|pejorative) A fan of the opera cycle Richard Wagner.,(俚语，幽默，或，贬义) 瓦格纳歌剧的粉丝。（根据上下文可能需要调整）,3084103
definition_vi_cjk,ringnut,noun,(slang|humorous|or|_|pejorative) A fan of the novel J. R. R. Tolkien and/or the film trilogy based on it.,(俚语，幽默，或，贬义) J.R.R. 托尔金小说或基于它的电影三部曲的粉丝。（根据上下文可能需要调整）,3084104
definition_vi_cjk,ringoal,noun,"A game for two players in which one uses two sticks to launch a hoop, the opponent attempting to catch it.",一种两人游戏，在这种游戏中，一方使用两根棍子来发射一个环，另一方试图接住它。,3084105
definition_vi_cjk,ringoid,noun,(math) A ring-like algebraic structure.,(数学) 一种环状代数结构。,3084106
definition_vi_cjk,ringoid,noun,(category theory) A small preadditive category (so named because a ring can be viewed as a preadditive category with a single object).,(范畴论) 一个小预加性范畴（因此得名，因为一个环可以被视为只有一个对象的预加性范畴）。,3084107
definition_vi_cjk,ringoism,noun,"A term to describe accidental, unusual, or poetic malapropisms, especially those said by Beatle Ringo Starr.",描述意外、不寻常或诗意的误用，尤其是由披头士成员 Ringo Starr 说出的。,3084108
definition_vi_cjk,ringolevio,noun,"(US|playground game) A children's game, a variation of tag, where each side has a designated ""jail"" to hold captured players from the other team.",(美国，操场游戏) 一种儿童游戏，类似于捉人游戏，每队都有一个指定的“监狱”来关押对方队伍的捕获者。,3084109
definition_vi_cjk,ringpiece,noun,(slang|chiefly|UK) The anal sphincter,（俚语，主要限于英国）肛门括约肌。,3084110
definition_vi_cjk,ringpost,noun,(professional wrestling) Any of the posts that surround the ring.,（职业摔跤）围绕着擂台的所有柱子。,3084111
definition_vi_cjk,ringsail,noun,(nautical) A light sail set abaft and beyond the leech of a boom-and-gaff sail.,(航海) 设置在帆船后部和帆杆后面的轻帆。,3084115
definition_vi_cjk,ringshine,noun,"(astronomy) Sunlight that is reflected from the ring around a planet (such as the one around Saturn), visible on the night side of the planet.",(天文学) 反射环绕行星（如土星）的环上的阳光，可见于行星夜晚一侧的光线。,3084116
definition_vi_cjk,metastory,noun,An overarching story having other stories embedded within it.,một câu chuyện khung có các câu chuyện khác được嵌入其中,2919698
definition_vi_cjk,rino,noun,(US politics|derogatory) .,"(politics 美国政治, 贬义)",3084189
definition_vi_cjk,rinmanite,noun,"(mineral) A hexagonal-dihexagonal pyramidal mineral containing aluminum, antimony, hydrogen, iron, magnesium, manganese, oxygen, and zinc.",(thiếc) Mined石墨矿,3084185
definition_vi_cjk,rinneite,noun,"(mineral) An evaporite, consisting of mixed potassium, sodium and ferrous chloride, K3NaFe2+Cl6.",(thiếc) Mined石墨矿,3084186
definition_vi_cjk,hydrostannylation,noun,Insertion of unsaturated substrates into Sn-H bond using tin hydride compound.,(hóa học) Thêm các phân tử không饱和烃 到Sn-H键中 使用锡氢化合物,2840026
definition_vi_cjk,ritzily,adverb,In a ritzy fashion.,里兹地（形容词）以里兹方式。,3084688
definition_vi_cjk,ritziness,noun,The quality of being ritzy.,里兹地（名词）里兹性质。,3084689
definition_vi_cjk,ritzy-glitzy,adjective,Showily elegant and luxurious.,里兹地（形容词）炫耀地优雅和奢华。,3084691
definition_vi_cjk,riv'n,adjective,(archaic) riven,（过时的）分裂的。,3084692
definition_vi_cjk,riva,noun,A rift or cleft.,裂缝或裂口。,3084693
definition_vi_cjk,rivalize,verb,(transitive|obsolete) To rival; to oppose or compete with.,cạnh tranh (thông qua động词),3084711
definition_vi_cjk,rivalmance,noun,(Dragon Age|_|fandom slang) A romance with a character with whom the player has an antagonistic relationship in Dragon Age II.,（龙腾时代，粉丝俚语）在《龙腾时代2》中与一个玩家有敌对关系的角色进行浪漫互动,3084715
definition_vi_cjk,rivalmance,verb,(Dragon Age|_|fandom slang) To romance a character in this manner in Dragon Age II.,（龙腾时代，粉丝俚语）以这种方式在《龙腾时代2》中与一个玩家有敌对关系的角色进行浪漫互动,3084716
definition_vi_cjk,hyperempirical,adjective,(epistemology|sciences) .,(知识论，科学)超经验的。,2841488
definition_vi_cjk,hyperencapsulation,noun,Excessive encapsulation (typically of a bacterium),过度包涵（通常指细菌）。,2841489
definition_vi_cjk,hyperendemia,noun,The condition of being hyperendemic,超地方性的状况。,2841490
definition_vi_cjk,hyperendemic,adjective,(medicine) That has a high and continued incidence in an area,(医学)在某一地区具有高且持续的发病率。,2841491
definition_vi_cjk,hypermnesia,noun,(psychology) An elevated level of memory recall.,(心理学) 记忆力增强水平。,2842163
definition_vi_cjk,horse-godmother,noun,(obsolete|colloquial) A fat clumsy woman.,"(hạn chế sử dụng,俚语) 一个笨拙的胖女人。(注：此词组在现代汉语中不常用)",2835648
definition_vi_cjk,echinite,noun,(paleontology) A fossilized echinoid.,(古生物学) 珊瑚化石。,2744423
definition_vi_cjk,housling,noun,(obsolete|Christianity) A communicant.,"Housling: (cũ, Kitô giáo) Một tín đồ tham dự lễ圣礼。",2836787
definition_vi_cjk,eek,verb,"(slang|ethnic slur|offensive) Of a black person, to speak nonsense or gibberish.",(俚语，种族歧视，冒犯性) 对黑人来说，说胡话或胡言乱语。,2746200
definition_vi_cjk,effectance,noun,(psychology) effective interaction with one's environment,(心理学) 有效与环境互动。,2746350
definition_vi_cjk,hsv,noun,(virology) .,(病毒学) .,2837175
definition_vi_cjk,efp,noun,(weaponry|countable) .,"(武力, countable) .",2746638
definition_vi_cjk,efp,noun,(weaponry|countable) .,"(广播, uncountable) .",2746639
definition_vi_cjk,efp,noun,(broadcasting|uncountable) .,"(广播, uncountable) .",2746640
definition_vi_cjk,eggstring,noun,A string of eggs produced by amphibians such as the midwife toad.,Một chuỗi trứng được sản xuất bởi các loài 两栖动物 如产卵蛙类。,2746832
definition_vi_cjk,huayangosaurid,noun,(zoology) Any dinosaur in the family,任何在家族中的恐龙.(古生物学),2837252
definition_vi_cjk,egosyntonia,noun,(psychology) .,(心理学) 自我一致,2746935
definition_vi_cjk,egotheism,noun,The deification of one's own self.,(神学) 自我崇拜,2746938
definition_vi_cjk,eicosanediol,noun,(organic compound) Any diol derived from eicosane,(有机化合物) 任何衍生自二十碳烯的二醇,2747096
definition_vi_cjk,substem,noun,(linguistics) Part of a stem.,(linguistics) 部分的 stem.,3154000
definition_vi_cjk,theah,noun,(US|historical|colloquial) .,"(Mỹ, lịch sử,俚语) .",3176904
definition_vi_cjk,electrofuse,verb,To fuse using electrofusion,使用电融合来熔合。,2748477
definition_vi_cjk,o,adjective,(historical) .,vi: (thông史学的) .,2973818
definition_vi_cjk,epcoritamab,noun,A monoclonal antibody anticancer medication used for the treatment of diffuse large B-cell lymphoma.,Một kháng thể kháng thể ung thư đơn dòng được sử dụng để điều trị u bạch cầu lớn弥漫性大B细胞淋巴瘤。,2756143
definition_vi_cjk,epidemy,noun,(medicine) .,(y học) 。,2756601
definition_vi_cjk,hylaeosaur,noun,A dinosaur of the genus .,(loài động vật) Một loài khủng龍 (dinosaur) của chủng loài .,2840488
definition_vi_cjk,hyperbulia,noun,(psychology) Excessive will or drive to do things.,(心理学) 过度的意志或驱动力去做事情,2841037
definition_vi_cjk,sudovikovite,noun,(mineral) A trigonal-hexagonal scalenohedral white mineral containing platinum and selenium.,một khoáng chất trắng hình thang cân giác chứa platino và硒 (xiē),3155228
definition_vi_cjk,hyperenergetic,adjective,Extremely energetic.,极其有活力的。,2841493
definition_vi_cjk,hyperenhance,verb,To produce hyperenhancement,使过度增强。,2841494
definition_vi_cjk,essentializer,noun,One who essentializes.,一个使某物本质化的人。,2760078
definition_vi_cjk,estj,noun,A person with this personality type,estj {具有这种个性类型的人},2760252
definition_vi_cjk,estj,noun,(psychology) : a personality type in the Myers–Briggs Type Indicator.,estj {（心理学）：迈尔斯-布里格斯类型指标中的个性类型。},2760251
definition_vi_cjk,estrogenic,adjective,(medicine) Causing estrus.,Estrogén (y học): Gây chu kỳ sinh dục nữ。,2760332
definition_vi_cjk,eustathe,noun,(biology|obsolete) The external layer of a cell.,(生物学，已废弃) 细胞的外层。,2762373
definition_vi_cjk,evo-creo,noun,(slang) .,evo-creo (俚语) .,2763249
definition_vi_cjk,thirty-three,noun,A phonograph record that rotates at revolutions per minute; especially an LP,Mặt nạ唱片,3179506
definition_vi_cjk,extramedullary,adjective,(anatomy|medicine) Outside of a medulla.,trừ xương髓内地,2767133
definition_vi_cjk,hypernormal,adjective,(psychology) Having or relating to a personality that makes one try hard to appear normal to others.,(心理学) 具有或与试图努力向他人表现出正常个性的人有关。,2842257
definition_vi_cjk,robb'd,verb,(archaic),(hồi古的) (不常用),3085255
definition_vi_cjk,robbin,noun,(archaic|or|historical) A kind of package in which pepper and other dry commodities used to be exported from Southeast Asia.,"thùng pepper (hồi古, hoặc, lịch sử) một loại gói mà hạt tiêu và các mặt hàng khô khác được xuất khẩu từ Đông Nam Á.",3085267
definition_vi_cjk,robbin,noun,The spring of a carriage.,cái nảy của xe (hồi古),3085268
definition_vi_cjk,robbin,noun,(nautical) .,cái nảy của xe (nâng海),3085269
definition_vi_cjk,robellus,noun,"(Canada|slang|slur) collective term for three major Canadian telecommunications companies Rogers Communications, Bell Canada, and Telus.","Rogers Communications, Bell Canada, và Telus (Canada,俚语)",3085281
definition_vi_cjk,robenidine,noun,A particular coccidiostat.,一种特定的鸡毒霉素。,3085284
definition_vi_cjk,roberd,noun,(obsolete|UK|dialect) chaffinch; robinet,"(英国, 过时) chaffinch; robinet",3085285
definition_vi_cjk,robertian,noun,Any member of the Frankish predecessor family of origin to the ruling houses of France.,任何成员的法兰克人前身家庭起源到法国统治家族。,3085286
definition_vi_cjk,robertsite,noun,"(mineral) A monoclinic-prismatic mineral containing calcium, hydrogen, manganese, oxygen, and phosphorus.",(矿物) 含有钙、氢、锰、氧和磷酸盐的一种单斜晶系矿物。,3085287
definition_vi_cjk,robertsman,noun,"(UK|obsolete) A bold robber, or night thief.","(英国, 过时) A bold robber, or night thief.",3085288
definition_vi_cjk,robertsonian,adjective,"Of or relating to William Rees Brebner Robertson (1881–1941), American zoologist and early cytogeneticist who first discovered the Robertsonian translocation.",关于威廉·雷斯·布伦纳·罗伯逊（1881–1941），美国动物学家和早期细胞遗传学家，他首次发现了罗伯逊易位。,3085289
definition_vi_cjk,icaridin,noun,(chemistry) An almost colourless and odourless insect repellent.,(kim loại) Một chất chống muỗi gần như无色无味。,2845032
definition_vi_cjk,icelandian,adjective,Icelandic.,Icelandic。,2845179
definition_vi_cjk,icelandian,noun,An Icelander.,Người Iceland。,2845180
definition_vi_cjk,icelandish,adjective,Icelandic of or relating to the North Germanic language spoken in Iceland.,Icelandic liên quan đến tiếng Bắc Âu được nói ở Iceland。,2845190
definition_vi_cjk,icelandite,noun,An andesite that is enriched in iron but deficient in aluminium.,Andesite giàu sắt nhưng nghèo magiê。,2845193
definition_vi_cjk,rodentsona,noun,(furry fandom|rare) A fursona that is a rodent.,"(lông茸毛, 罕见) Một nhân vật fursona là một loài chuột.",3085874
definition_vi_cjk,identitarianism,noun,(psychology) The set of ideas arising from an ontology of identity.,(心理学) từ ngữ xuất phát từ một học thuyết về bản thân.,2845912
definition_vi_cjk,idiophanous,adjective,"(crystallography) Exhibiting interference figures without the aid of a polariscope, as certain crystals do.","(crystallography) Hiện thị hình干涉及图像识别，这里翻译为“干涉图样”更符合化学和晶体学的专业术语) Không cần kính phân cực để hiển thị các hình interferogram, như một số-crystal (crystallography) làm.",2846106
definition_vi_cjk,roh,noun,(travel) .,: một công ty truyền thông và giải trí Mỹ nổi tiếng với摔角。,3086072
definition_vi_cjk,roh,noun,(genetics) .,: một công ty truyền thông và giải trí Mỹ nổi tiếng với摔角。,3086073
definition_vi_cjk,rokelay,noun,(Scotland|historical) A short cloak worn mostly by ladies in the 18th century.,"(Scotland, lịch sử)一件短斗篷，主要在18世纪由女士穿着。",3086134
definition_vi_cjk,rollform,verb,(transitive) To form (sheet metal) into a desired cross section through continuous bending of a long strip of the metal as it passes through a set of rollers.,(转义) 将（金属板）弯曲成所需的断面轮廓，通过长条金属连续弯曲穿过一组滚轮来实现。,3086346
definition_vi_cjk,rolliche,noun,"(archaic) A kind of sausage, made in a bag of tripe, sliced and fried, famous among the Dutch of New Amsterdam.",(古语) 一种香肠，装在牛肚袋中切片煎炸，著名的荷兰新阿姆斯特丹人,3086347
definition_vi_cjk,rollie,noun,(slang|chiefly|UK) A cigarette rolled by hand.,(俚语，主要指英国) 自卷的香烟。,3086358
definition_vi_cjk,rollie,noun,(slang) A Rolex wristwatch.,(俚语) 劳力士手表。,3086359
definition_vi_cjk,romist,noun,(archaic) An adherent of Romism.,romist (hồi古): (hồi古) người theo đạo Roma.,3086709
definition_vi_cjk,romist,noun,(archaic) A Roman Catholic.,romist (hồi古): (hồi古) Kitô hữu Roma.,3086710
definition_vi_cjk,romist,noun,(archaic|rare) A curialist.,"romist (hồi古): (hồi古, hiếm) người ủng hộ Curial.",3086711
definition_vi_cjk,rongeur,noun,"(surgery) An instrument with a sharp-edged, scoop-shaped tip, for gouging out bone.",(chirurgie) một dụng cụ có刃口状的、勺形的尖端，用于挖出骨头。,3086805
definition_vi_cjk,ronggeng,noun,A Javanese dancing girl.,một cô gái Java Javanese跳舞的。,3086806
definition_vi_cjk,rootkit,noun,(computer security) A set of software tools used by a third party to gain unauthorized access to a computer system and control the system while concealing itself from the user.,套装（用于未经授权地访问计算机系统并隐藏自己）,3087143
definition_vi_cjk,rootkit,verb,(transitive) To infect (a computer system) with a rootkit.,感染,3087144
definition_vi_cjk,indocarbocyanine,noun,(organic chemistry) Any of a class of dyes composed of two indole groups connected by a short unsaturated chain of carbon atoms (typically of three carbon atoms),(công nghệ hữu cơ) Màu sắc bất kỳ được tạo thành từ hai nhóm indole kết nối bằng một chuỗi cacbon ngắn không饱和的碳链（通常为三个碳原子）,2853330
definition_vi_cjk,inedia,noun,The (purported) ability to live without food.,(据说的能力) 不吃东西也能生存。,2853732
definition_vi_cjk,inferiorization,noun,The process of inferiorizing.,劣等化的过程。,2854341
definition_vi_cjk,inferiorize,verb,(transitive) To make or treat as inferior.,(及物) 使或对待某人为劣等。,2854342
definition_vi_cjk,rostafuroxin,noun,A derivative of digitoxigenin associated with salt gradients across membranes,rostafuroxin (một hợp chất派生自digitoxigenin，与跨膜盐梯度相关).,3087585
definition_vi_cjk,rostralization,noun,(zoology) The formation and development of a rostrum (beak),Rostratifikasjons - (zooloジー) 形状的形成和发展为喙,3087611
definition_vi_cjk,rostratulid,noun,(ornithology) Any bird in the family .,Rostrocaudal - (zooloジー) 与头尾轴平行的方向。,3087622
definition_vi_cjk,rostriferous,adjective,(zoology) Having a rostrum.,Rostrocaudal - (zooloジー) 头和尾之间。,3087623
definition_vi_cjk,ingate,noun,(obsolete) The aperture in a mould for pouring in the metal; the gate; tedge.,ingate (浇口),2855363
definition_vi_cjk,rouerie,noun,(rare|archaic) The behaviour of a roué; debauchery.,"(khan hiếm, cổ điển) 行为放荡；放纵",3088004
definition_vi_cjk,roughspun,adjective,"(of a garment or cloth) Woven from a coarsely spun yarn, (usually also from a coarse material).",(罕见) 用粗糙纺出的纱线制成或质地粗糙的服装。,3088133
definition_vi_cjk,roughspun,adjective,"(figuratively) Unpolished, rough and ready, uncultured, unsophisticated.",(比喻) 粗糙的，未经雕琢的，粗糙的，未受教育的。,3088134
definition_vi_cjk,roughstock,noun,"(often|attributive) Collectively, broncos; horses not fully broken that are likely to buck when ridden.",(通常作为形容词使用) 马鬃；马鬃未完全驯服，骑乘时可能会踢人或翻滚的马。,3088135
definition_vi_cjk,rought,verb,(obsolete),(过时),3088136
definition_vi_cjk,rought,verb,(obsolete),(过时),3088137
