priority_order,normalized_word,learner_rank,source_memberships,original_source_lemmas,match_status,exact_entry_lemmas,exact_lexical_entry_ids,casefold_only_entry_lemmas,semantic_alignment_status,exact_lexical_entry_count,source_sense_count,requires_human_sense_selection,rank_source,rank_source_version,rank_source_url,rank_source_license
11,he,11,"[""ngsl-core""]","[""he""]",matched,"[""he""]","[""oewn-he-n""]","[""He""]",unreviewed,1,1,true,New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
12,for,12,"[""ngsl-core""]","[""for""]",missing,[],[],[],unreviewed,0,0,true,New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
13,they,13,"[""ngsl-core""]","[""they""]",missing,[],[],[],unreviewed,0,0,true,New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
14,not,14,"[""ngsl-core""]","[""not""]",matched,"[""not""]","[""oewn-not-r""]",[],unreviewed,1,1,true,New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
15,that,15,"[""ngsl-core""]","[""that""]",missing,[],[],[],unreviewed,0,0,true,New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
16,we,16,"[""ngsl-core""]","[""we""]",missing,[],[],[],unreviewed,0,0,true,New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
17,on,17,"[""ngsl-core""]","[""on""]",matched,"[""on""]","[""oewn-on-a"",""oewn-on-r""]",[],unreviewed,2,5,true,New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
18,with,18,"[""ngsl-core""]","[""with""]",missing,[],[],[],unreviewed,0,0,true,New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
19,this,19,"[""ngsl-core""]","[""this""]",missing,[],[],[],unreviewed,0,0,true,New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
20,i,20,"[""ngsl-core""]","[""I""]",matched,"[""I""]","[""oewn-I-n""]","[""i""]",unreviewed,1,3,true,New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
21,do,21,"[""ngsl-core""]","[""do""]",matched,"[""do""]","[""oewn-do-n-1"",""oewn-do-n-2"",""oewn-do-v""]","[""DO""]",unreviewed,3,15,true,New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
22,as,22,"[""ngsl-core""]","[""as""]",matched,"[""as""]","[""oewn-as-r""]","[""As""]",unreviewed,1,1,true,New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
23,at,23,"[""ngsl-core""]","[""at""]",matched,"[""at""]","[""oewn-at-n""]","[""At""]",unreviewed,1,1,true,New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
24,she,24,"[""ngsl-core""]","[""she""]",missing,[],[],[],unreviewed,0,0,true,New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
25,but,25,"[""ngsl-core""]","[""but""]",matched,"[""but""]","[""oewn-but-r""]",[],unreviewed,1,1,true,New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
26,from,26,"[""ngsl-core""]","[""from""]",missing,[],[],[],unreviewed,0,0,true,New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
27,by,27,"[""ngsl-core""]","[""by""]",matched,"[""by""]","[""oewn-by-r""]",[],unreviewed,1,2,true,New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
28,will,28,"[""ngsl-core""]","[""will""]",matched,"[""will""]","[""oewn-will-n"",""oewn-will-v""]",[],unreviewed,2,6,true,New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
29,or,29,"[""ngsl-core""]","[""or""]",case_collision,[],[],"[""OR""]",unreviewed,0,0,true,New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
30,say,30,"[""ngsl-core""]","[""say""]",matched,"[""say""]","[""oewn-say-n"",""oewn-say-v""]",[],unreviewed,2,12,true,New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
31,go,31,"[""ngsl-core""]","[""go""]",matched,"[""go""]","[""oewn-go-a"",""oewn-go-n"",""oewn-go-v""]",[],unreviewed,3,35,true,New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
32,so,32,"[""ngsl-core""]","[""so""]",matched,"[""so""]","[""oewn-so-n"",""oewn-so-r""]",[],unreviewed,2,11,true,New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
33,all,33,"[""ngsl-core""]","[""all""]",matched,"[""all""]","[""oewn-all-a"",""oewn-all-r""]",[],unreviewed,2,3,true,New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
34,if,34,"[""ngsl-core""]","[""if""]",missing,[],[],[],unreviewed,0,0,true,New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
35,one,35,"[""ngsl-core""]","[""one""]",matched,"[""one""]","[""oewn-one-a"",""oewn-one-n""]",[],unreviewed,2,9,true,New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
36,would,36,"[""ngsl-core""]","[""would""]",missing,[],[],[],unreviewed,0,0,true,New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
37,about,37,"[""ngsl-core""]","[""about""]",matched,"[""about""]","[""oewn-about-a"",""oewn-about-r""]",[],unreviewed,2,8,true,New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
38,can,38,"[""ngsl-core""]","[""can""]",matched,"[""can""]","[""oewn-can-n"",""oewn-can-v""]",[],unreviewed,2,8,true,New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
39,which,39,"[""ngsl-core""]","[""which""]",missing,[],[],[],unreviewed,0,0,true,New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
40,there,40,"[""ngsl-core""]","[""there""]",matched,"[""there""]","[""oewn-there-n"",""oewn-there-r""]",[],unreviewed,2,4,true,New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
41,know,41,"[""ngsl-core""]","[""know""]",matched,"[""know""]","[""oewn-know-n"",""oewn-know-v""]",[],unreviewed,2,11,true,New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
42,more,42,"[""ngsl-core""]","[""more""]",matched,"[""more""]","[""oewn-more-a"",""oewn-more-r""]",[],unreviewed,2,4,true,New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
43,get,43,"[""ngsl-core""]","[""get""]",matched,"[""get""]","[""oewn-get-n"",""oewn-get-v""]",[],unreviewed,2,37,true,New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
44,who,44,"[""ngsl-core""]","[""who""]",case_collision,[],[],"[""WHO""]",unreviewed,0,0,true,New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
45,like,45,"[""ngsl-core""]","[""like""]",matched,"[""like""]","[""oewn-like-a"",""oewn-like-n"",""oewn-like-v""]",[],unreviewed,3,11,true,New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
46,when,46,"[""ngsl-core""]","[""when""]",missing,[],[],[],unreviewed,0,0,true,New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
47,think,47,"[""ngsl-core""]","[""think""]",matched,"[""think""]","[""oewn-think-n"",""oewn-think-v""]",[],unreviewed,2,14,true,New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
48,make,48,"[""ngsl-core""]","[""make""]",matched,"[""make""]","[""oewn-make-n"",""oewn-make-v""]",[],unreviewed,2,51,true,New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
49,time,49,"[""ngsl-core""]","[""time""]",matched,"[""time""]","[""oewn-time-n"",""oewn-time-v""]",[],unreviewed,2,15,true,New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
50,see,50,"[""ngsl-core""]","[""see""]",matched,"[""see""]","[""oewn-see-n"",""oewn-see-v""]",[],unreviewed,2,25,true,New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
51,what,51,"[""ngsl-core""]","[""what""]",missing,[],[],[],unreviewed,0,0,true,New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
52,up,52,"[""ngsl-core""]","[""up""]",matched,"[""up""]","[""oewn-up-a"",""oewn-up-r"",""oewn-up-v""]",[],unreviewed,3,14,true,New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
53,some,53,"[""ngsl-core""]","[""some""]",matched,"[""some""]","[""oewn-some-a"",""oewn-some-r""]",[],unreviewed,2,4,true,New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
54,other,54,"[""ngsl-core""]","[""other""]",matched,"[""other""]","[""oewn-other-a""]",[],unreviewed,1,4,true,New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
55,out,55,"[""ngsl-core""]","[""out""]",matched,"[""out""]","[""oewn-out-a"",""oewn-out-n"",""oewn-out-r"",""oewn-out-v""]",[],unreviewed,4,17,true,New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
56,good,56,"[""ngsl-core""]","[""good""]",matched,"[""good""]","[""oewn-good-a"",""oewn-good-n"",""oewn-good-r""]",[],unreviewed,3,27,true,New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
57,people,57,"[""ngsl-core""]","[""people""]",matched,"[""people""]","[""oewn-people-n"",""oewn-people-v""]",[],unreviewed,2,6,true,New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
58,year,58,"[""ngsl-core""]","[""year""]",matched,"[""year""]","[""oewn-year-n""]",[],unreviewed,1,4,true,New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
59,take,59,"[""ngsl-core""]","[""take""]",matched,"[""take""]","[""oewn-take-n"",""oewn-take-v""]",[],unreviewed,2,44,true,New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
60,no,60,"[""ngsl-core""]","[""no""]",matched,"[""no""]","[""oewn-no-a"",""oewn-no-n"",""oewn-no-r""]","[""No""]",unreviewed,3,5,true,New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
61,well,61,"[""ngsl-core""]","[""well""]",matched,"[""well""]","[""oewn-well-a"",""oewn-well-n"",""oewn-well-r"",""oewn-well-v""]",[],unreviewed,4,22,true,New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
62,because,62,"[""ngsl-core""]","[""because""]",missing,[],[],[],unreviewed,0,0,true,New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
63,very,63,"[""ngsl-core""]","[""very""]",matched,"[""very""]","[""oewn-very-a"",""oewn-very-r""]",[],unreviewed,2,4,true,New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
64,just,64,"[""ngsl-core""]","[""just""]",matched,"[""just""]","[""oewn-just-a"",""oewn-just-r""]",[],unreviewed,2,12,true,New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
65,come,65,"[""ngsl-core""]","[""come""]",matched,"[""come""]","[""oewn-come-n"",""oewn-come-v""]",[],unreviewed,2,22,true,New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
66,could,66,"[""ngsl-core""]","[""could""]",missing,[],[],[],unreviewed,0,0,true,New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
67,work,67,"[""ngsl-core""]","[""work""]",matched,"[""work""]","[""oewn-work-n"",""oewn-work-v""]",[],unreviewed,2,34,true,New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
68,use,68,"[""ngsl-core""]","[""use""]",matched,"[""use""]","[""oewn-use-n"",""oewn-use-v""]",[],unreviewed,2,13,true,New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
69,than,69,"[""ngsl-core""]","[""than""]",missing,[],[],[],unreviewed,0,0,true,New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
70,now,70,"[""ngsl-core""]","[""now""]",matched,"[""now""]","[""oewn-now-n"",""oewn-now-r""]",[],unreviewed,2,8,true,New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
71,then,71,"[""ngsl-core""]","[""then""]",matched,"[""then""]","[""oewn-then-a"",""oewn-then-n"",""oewn-then-r""]",[],unreviewed,3,5,true,New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
72,also,72,"[""ngsl-core""]","[""also""]",matched,"[""also""]","[""oewn-also-r""]",[],unreviewed,1,1,true,New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
73,into,73,"[""ngsl-core""]","[""into""]",missing,[],[],[],unreviewed,0,0,true,New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
74,only,74,"[""ngsl-core""]","[""only""]",matched,"[""only""]","[""oewn-only-a"",""oewn-only-r""]",[],unreviewed,2,8,true,New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
75,look,75,"[""ngsl-core""]","[""look""]",matched,"[""look""]","[""oewn-look-n"",""oewn-look-v""]",[],unreviewed,2,14,true,New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
76,want,76,"[""ngsl-core""]","[""want""]",matched,"[""want""]","[""oewn-want-n"",""oewn-want-v""]",[],unreviewed,2,9,true,New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
77,give,77,"[""ngsl-core""]","[""give""]",matched,"[""give""]","[""oewn-give-n"",""oewn-give-v""]",[],unreviewed,2,44,true,New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
78,first,78,"[""ngsl-core""]","[""first""]",matched,"[""first""]","[""oewn-first-a"",""oewn-first-n"",""oewn-first-r""]",[],unreviewed,3,15,true,New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
79,new,79,"[""ngsl-core""]","[""new""]",matched,"[""new""]","[""oewn-new-a"",""oewn-new-r""]","[""New""]",unreviewed,2,9,true,New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
80,way,80,"[""ngsl-core""]","[""way""]",matched,"[""way""]","[""oewn-way-n"",""oewn-way-r""]",[],unreviewed,2,13,true,New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
81,find,81,"[""ngsl-core""]","[""find""]",matched,"[""find""]","[""oewn-find-n"",""oewn-find-v""]",[],unreviewed,2,17,true,New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
82,over,82,"[""ngsl-core""]","[""over""]",matched,"[""over""]","[""oewn-over-a"",""oewn-over-n"",""oewn-over-r""]",[],unreviewed,3,7,true,New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
83,any,83,"[""ngsl-core""]","[""any""]",matched,"[""any""]","[""oewn-any-a"",""oewn-any-r""]",[],unreviewed,2,2,true,New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
84,after,84,"[""ngsl-core""]","[""after""]",matched,"[""after""]","[""oewn-after-a"",""oewn-after-r""]",[],unreviewed,2,3,true,New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
85,day,85,"[""ngsl-core""]","[""day""]",matched,"[""day""]","[""oewn-day-n""]",[],unreviewed,1,9,true,New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
86,where,86,"[""ngsl-core""]","[""where""]",missing,[],[],[],unreviewed,0,0,true,New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
87,thing,87,"[""ngsl-core""]","[""thing""]",matched,"[""thing""]","[""oewn-thing-n""]",[],unreviewed,1,12,true,New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
88,most,88,"[""ngsl-core""]","[""most""]",matched,"[""most""]","[""oewn-most-a"",""oewn-most-r""]",[],unreviewed,2,5,true,New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
89,should,89,"[""ngsl-core""]","[""should""]",missing,[],[],[],unreviewed,0,0,true,New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
90,need,90,"[""ngsl-core""]","[""need""]",matched,"[""need""]","[""oewn-need-n"",""oewn-need-v""]",[],unreviewed,2,7,true,New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
91,much,91,"[""ngsl-core""]","[""much""]",matched,"[""much""]","[""oewn-much-a"",""oewn-much-n"",""oewn-much-r""]",[],unreviewed,3,6,true,New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
92,right,92,"[""ngsl-core""]","[""right""]",matched,"[""right""]","[""oewn-right-a"",""oewn-right-n"",""oewn-right-r"",""oewn-right-v""]",[],unreviewed,4,37,true,New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
93,how,93,"[""ngsl-core""]","[""how""]",missing,[],[],[],unreviewed,0,0,true,New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
94,back,94,"[""ngsl-core""]","[""back""]",matched,"[""back""]","[""oewn-back-a"",""oewn-back-n"",""oewn-back-r"",""oewn-back-v""]",[],unreviewed,4,28,true,New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
95,mean,95,"[""ngsl-core""]","[""mean""]",matched,"[""mean""]","[""oewn-mean-a"",""oewn-mean-n"",""oewn-mean-v""]",[],unreviewed,3,16,true,New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
96,even,96,"[""ngsl-core""]","[""even""]",matched,"[""even""]","[""oewn-even-a"",""oewn-even-n"",""oewn-even-r"",""oewn-even-v""]",[],unreviewed,4,14,true,New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
97,may,97,"[""ngsl-core"",""ngsl-supplement""]","[""may"",""May""]",source_lemma_merge,"[""May"",""may""]","[""oewn-May-n"",""oewn-may-n""]",[],unreviewed,2,2,true,New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
98,here,98,"[""ngsl-core""]","[""here""]",matched,"[""here""]","[""oewn-here-a"",""oewn-here-n"",""oewn-here-r""]",[],unreviewed,3,6,true,New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
99,many,99,"[""ngsl-core""]","[""many""]",matched,"[""many""]","[""oewn-many-a""]",[],unreviewed,1,1,true,New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
100,such,100,"[""ngsl-core""]","[""such""]",matched,"[""such""]","[""oewn-such-a"",""oewn-such-r""]",[],unreviewed,2,2,true,New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
