word,learner_rank,sense_order,sense_key,part_of_speech,definition_en,definition_vi,examples_en,examples_vi,definition_source,definition_source_version,definition_source_artifact_sha256,current_cefr_level,cefr_source,cefr_source_version,cefr_basis,pronunciation_candidates,current_status,known_gaps,semantic_decision,translation_decision,example_decision,cefr_decision,approved_cefr_level,pronunciation_decision,reviewer,reviewed_at,reviewer_notes
say,30,2,oewn:oewn-say__2.32.01..,verb,"To report, state, or claim something.","cho biết, nói hoặc khẳng định điều gì.",1. The doctor says the test results are normal.,1. Bác sĩ cho biết kết quả xét nghiệm bình thường.,Open English WordNet,2025,9ca6d1dcb75f822fdd66617f7d9da48142ace38dd544d6ad5e2feca1674ad3fe,,,,,,draft,"AI-assisted lexical draft grounded in the selected OEWN sense; the semantic selection, learner wording, Vietnamese meaning, and example require human bilingual review.",,,,,,,,,
say,30,3,oewn:oewn-say__2.42.00..,verb,"To contain particular words or information in writing, on a sign, or on a display.","ghi, cho biết hoặc hiển thị nội dung nào đó.","1. The sign says ""No parking.""","1. Biển báo ghi ""Cấm đỗ xe.""",Open English WordNet,2025,9ca6d1dcb75f822fdd66617f7d9da48142ace38dd544d6ad5e2feca1674ad3fe,,,,,,draft,"AI-assisted lexical draft grounded in the selected OEWN sense; the semantic selection, learner wording, Vietnamese meaning, and example require human bilingual review.",,,,,,,,,
go,31,1,oewn:oewn-go__2.38.00..,verb,To move or travel from one place to another.,"đi, di chuyển từ nơi này đến nơi khác.",1. We go to work by bus.,1. Chúng tôi đi làm bằng xe buýt.,Open English WordNet,2025,9ca6d1dcb75f822fdd66617f7d9da48142ace38dd544d6ad5e2feca1674ad3fe,,,,,,draft,"AI-assisted lexical draft grounded in the selected OEWN sense; the semantic selection, learner wording, Vietnamese meaning, and example require human bilingual review.",,,,,,,,,
go,31,2,oewn:oewn-go__2.38.01..,verb,To leave a place or move away.,"đi, rời khỏi một nơi.",1. I have to go now.,1. Bây giờ tôi phải đi rồi.,Open English WordNet,2025,9ca6d1dcb75f822fdd66617f7d9da48142ace38dd544d6ad5e2feca1674ad3fe,,,,,,draft,"AI-assisted lexical draft grounded in the selected OEWN sense; the semantic selection, learner wording, Vietnamese meaning, and example require human bilingual review.",,,,,,,,,
go,31,3,oewn:oewn-go__2.30.04..,verb,To change into a particular state or condition.,"trở nên, chuyển sang một trạng thái.",1. The milk has gone bad.,1. Sữa đã hỏng.,Open English WordNet,2025,9ca6d1dcb75f822fdd66617f7d9da48142ace38dd544d6ad5e2feca1674ad3fe,,,,,,draft,"AI-assisted lexical draft grounded in the selected OEWN sense; the semantic selection, learner wording, Vietnamese meaning, and example require human bilingual review.",,,,,,,,,
go,31,4,oewn:oewn-go__2.30.01..,verb,To happen or develop in a particular way.,"diễn ra, tiến triển theo một cách nào đó.",1. How did your interview go?,1. Buổi phỏng vấn của bạn diễn ra thế nào?,Open English WordNet,2025,9ca6d1dcb75f822fdd66617f7d9da48142ace38dd544d6ad5e2feca1674ad3fe,,,,,,draft,"AI-assisted lexical draft grounded in the selected OEWN sense; the semantic selection, learner wording, Vietnamese meaning, and example require human bilingual review.",,,,,,,,,
time,49,1,oewn:oewn-time__1.28.05..,noun,A period available for doing something.,thời gian có thể dùng để làm việc gì.,1. We do not have enough time to finish.,1. Chúng ta không có đủ thời gian để hoàn thành.,Open English WordNet,2025,9ca6d1dcb75f822fdd66617f7d9da48142ace38dd544d6ad5e2feca1674ad3fe,,,,,,draft,"AI-assisted lexical draft grounded in the selected OEWN sense; the semantic selection, learner wording, Vietnamese meaning, and example require human bilingual review.",,,,,,,,,
time,49,2,oewn:oewn-time__1.28.03..,noun,A particular point shown by a clock.,giờ; thời điểm được biểu thị trên đồng hồ.,1. What time is it?,1. Bây giờ là mấy giờ?,Open English WordNet,2025,9ca6d1dcb75f822fdd66617f7d9da48142ace38dd544d6ad5e2feca1674ad3fe,,,,,,draft,"AI-assisted lexical draft grounded in the selected OEWN sense; the semantic selection, learner wording, Vietnamese meaning, and example require human bilingual review.",,,,,,,,,
time,49,3,oewn:oewn-time__1.11.00..,noun,One occasion when something happens.,lần; một dịp mà sự việc xảy ra.,1. I called her three times.,1. Tôi đã gọi cho cô ấy ba lần.,Open English WordNet,2025,9ca6d1dcb75f822fdd66617f7d9da48142ace38dd544d6ad5e2feca1674ad3fe,,,,,,draft,"AI-assisted lexical draft grounded in the selected OEWN sense; the semantic selection, learner wording, Vietnamese meaning, and example require human bilingual review.",,,,,,,,,
time,49,4,oewn:oewn-time__1.28.06..,noun,A suitable moment for something.,"lúc, thời điểm thích hợp hoặc đã đến lúc làm gì.",1. It is time to leave.,1. Đã đến lúc phải đi.,Open English WordNet,2025,9ca6d1dcb75f822fdd66617f7d9da48142ace38dd544d6ad5e2feca1674ad3fe,,,,,,draft,"AI-assisted lexical draft grounded in the selected OEWN sense; the semantic selection, learner wording, Vietnamese meaning, and example require human bilingual review.",,,,,,,,,
time,49,5,oewn:oewn-time__1.03.00..,noun,The continuing process in which events happen and pass.,thời gian; quá trình liên tục trong đó các sự việc xảy ra và trôi qua.,1. Time passes quickly when we are busy.,1. Thời gian trôi nhanh khi chúng ta bận.,Open English WordNet,2025,9ca6d1dcb75f822fdd66617f7d9da48142ace38dd544d6ad5e2feca1674ad3fe,,,,,,draft,"AI-assisted lexical draft grounded in the selected OEWN sense; the semantic selection, learner wording, Vietnamese meaning, and example require human bilingual review.",,,,,,,,,
people,57,1,oewn:oewn-people__1.14.00..,noun,Human beings considered together as a group.,"người, mọi người; một nhóm người nói chung.",1. There were many people at the market.,1. Có rất nhiều người ở chợ.,Open English WordNet,2025,9ca6d1dcb75f822fdd66617f7d9da48142ace38dd544d6ad5e2feca1674ad3fe,,,,,,draft,"AI-assisted lexical draft grounded in the selected OEWN sense. In this general-human sense, people is plural and takes a plural verb. The semantic selection, learner wording, Vietnamese meaning, and example require human bilingual review.",,,,,,,,,
people,57,2,oewn:oewn-people__1.14.01..,noun,The citizens of a particular country or state.,"người dân, nhân dân của một quốc gia hoặc bang.",1. The people of this country voted in the election.,1. Người dân nước này đã bỏ phiếu trong cuộc bầu cử.,Open English WordNet,2025,9ca6d1dcb75f822fdd66617f7d9da48142ace38dd544d6ad5e2feca1674ad3fe,,,,,,draft,"AI-assisted lexical draft grounded in the selected OEWN sense; the semantic selection, learner wording, Vietnamese meaning, and example require human bilingual review.",,,,,,,,,
year,58,1,oewn:oewn-year__1.28.01..,noun,"A period of twelve months, normally 365 days or 366 in a leap year.","năm; khoảng thời gian mười hai tháng, thường có 365 ngày hoặc 366 ngày trong năm nhuận.",1. She lived in Hanoi for three years.,1. Cô ấy đã sống ở Hà Nội ba năm.,Open English WordNet,2025,9ca6d1dcb75f822fdd66617f7d9da48142ace38dd544d6ad5e2feca1674ad3fe,,,,,,draft,"AI-assisted lexical draft grounded in the selected OEWN sense; the semantic selection, learner wording, Vietnamese meaning, and example require human bilingual review.",,,,,,,,,
year,58,2,oewn:oewn-year__1.28.02..,noun,A regular part of a calendar year organized around a particular activity.,"năm hoặc kỳ thường niên dành cho một hoạt động cụ thể, như năm học hay năm tài chính.",1. The school year begins in September.,1. Năm học bắt đầu vào tháng Chín.,Open English WordNet,2025,9ca6d1dcb75f822fdd66617f7d9da48142ace38dd544d6ad5e2feca1674ad3fe,,,,,,draft,"AI-assisted lexical draft grounded in the selected OEWN sense; the semantic selection, learner wording, Vietnamese meaning, and example require human bilingual review.",,,,,,,,,
way,80,1,oewn:oewn-way__1.07.01..,noun,The particular manner in which something is done or happens.,"cách, kiểu mà một việc được làm hoặc diễn ra.",1. I like the way you explain new words.,1. Tôi thích cách bạn giải thích từ mới.,Open English WordNet,2025,9ca6d1dcb75f822fdd66617f7d9da48142ace38dd544d6ad5e2feca1674ad3fe,,,,,,draft,"AI-assisted lexical draft grounded in the selected OEWN sense; the semantic selection, learner wording, Vietnamese meaning, and example require human bilingual review.",,,,,,,,,
way,80,2,oewn:oewn-way__1.04.01..,noun,A method or means of achieving a result.,"cách, phương pháp để đạt được một kết quả.",1. Walking is a good way to stay healthy.,1. Đi bộ là một cách tốt để giữ sức khỏe.,Open English WordNet,2025,9ca6d1dcb75f822fdd66617f7d9da48142ace38dd544d6ad5e2feca1674ad3fe,,,,,,draft,"AI-assisted lexical draft grounded in the selected OEWN sense; the semantic selection, learner wording, Vietnamese meaning, and example require human bilingual review.",,,,,,,,,
way,80,3,oewn:oewn-way__1.15.00..,noun,A route or direction leading to a place.,"đường, lối hoặc hướng đi đến một nơi.",1. Can you show me the way to the station?,1. Bạn có thể chỉ cho tôi đường đến nhà ga không?,Open English WordNet,2025,9ca6d1dcb75f822fdd66617f7d9da48142ace38dd544d6ad5e2feca1674ad3fe,,,,,,draft,"AI-assisted lexical draft grounded in the selected OEWN sense; the semantic selection, learner wording, Vietnamese meaning, and example require human bilingual review.",,,,,,,,,
day,85,1,oewn:oewn-day__1.28.00..,noun,A period of twenty-four hours.,ngày; khoảng thời gian 24 giờ.,1. The journey took two days.,1. Chuyến đi kéo dài hai ngày.,Open English WordNet,2025,9ca6d1dcb75f822fdd66617f7d9da48142ace38dd544d6ad5e2feca1674ad3fe,,,,,,draft,"AI-assisted lexical draft grounded in the selected OEWN sense; the semantic selection, learner wording, Vietnamese meaning, and example require human bilingual review.",,,,,,,,,
day,85,2,oewn:oewn-day__1.28.02..,noun,The part of a day between sunrise and sunset.,ban ngày; khoảng thời gian từ lúc mặt trời mọc đến khi mặt trời lặn.,1. We travelled during the day and rested at night.,1. Chúng tôi đi vào ban ngày và nghỉ vào ban đêm.,Open English WordNet,2025,9ca6d1dcb75f822fdd66617f7d9da48142ace38dd544d6ad5e2feca1674ad3fe,,,,,,draft,"AI-assisted lexical draft grounded in the selected OEWN sense; the semantic selection, learner wording, Vietnamese meaning, and example require human bilingual review.",,,,,,,,,
day,85,3,oewn:oewn-day__1.28.03..,noun,A particular point or period in time.,"ngày, thời điểm hoặc thời kỳ cụ thể.",1. Those were happy days for our family.,1. Đó là những ngày hạnh phúc của gia đình chúng tôi.,Open English WordNet,2025,9ca6d1dcb75f822fdd66617f7d9da48142ace38dd544d6ad5e2feca1674ad3fe,,,,,,draft,"AI-assisted lexical draft grounded in the selected OEWN sense; the semantic selection, learner wording, Vietnamese meaning, and example require human bilingual review.",,,,,,,,,
